
[00:00:00.000 --> 00:00:03.340]   ♪ Godless righteousness ♪
[01:35:09.420 --> 01:35:12.420]   ♪ Let Your kingdom come. ♪
[01:35:12.420 --> 01:35:16.420]   ♪ Let Your kingdom come. ♪
[01:35:16.420 --> 01:35:20.420]   ♪ Let Your will be done, ♪
[01:35:20.420 --> 01:35:28.420]   ♪ so that everyone might know Your name. ♪
[01:35:28.420 --> 01:35:36.420]   ♪ Let Your song be heard everywhere on earth, ♪
[01:35:36.420 --> 01:35:43.420]   ♪ until Your sovereign work on earth is done. ♪
[01:35:43.420 --> 01:35:48.420]   ♪ Let Your kingdom come. ♪
[01:35:48.420 --> 01:35:52.420]   ♪ Let Your kingdom come. ♪
[01:35:52.420 --> 01:36:03.420]   [music]
[01:36:03.420 --> 01:36:06.420]   Amen, would you join me in prayer?
[01:36:06.420 --> 01:36:10.420]   Heavenly Father, we thank You, Lord, for You are a God who is
[01:36:10.420 --> 01:36:14.420]   gracious and compassionate, slow to anger,
[01:36:14.420 --> 01:36:16.420]   abounding in love and kindness.
[01:36:16.420 --> 01:36:20.420]   Father, we thank You so much for this opportunity tonight for us
[01:36:20.420 --> 01:36:24.420]   as a church to gather and to pray.
[01:36:24.420 --> 01:36:27.420]   Lord, we know that more than anything else that we do,
[01:36:27.420 --> 01:36:31.420]   coming before You and asking You for help, Father,
[01:36:31.420 --> 01:36:34.420]   God, is the best use of our time.
[01:36:34.420 --> 01:36:37.420]   Lord, I pray that You would open our eyes to be able to see
[01:36:37.420 --> 01:36:41.420]   things through Your lens, through Your eyes, Lord.
[01:36:41.420 --> 01:36:45.420]   Lord, we live day by day entangled with various
[01:36:45.420 --> 01:36:49.420]   responsibilities, distracted, things that are going on at work,
[01:36:49.420 --> 01:36:52.420]   in our homes, at school.
[01:36:52.420 --> 01:36:55.420]   But in the midst of all these things that distract us, Lord,
[01:36:55.420 --> 01:37:01.420]   help us as we pray to have an eternal perspective.
[01:37:01.420 --> 01:37:05.420]   Lord, that we would be kingdom-minded to pursue things
[01:37:05.420 --> 01:37:09.420]   that truly, really matter.
[01:37:09.420 --> 01:37:13.420]   Teach us what it means, God, to be truly broken for the lost,
[01:37:13.420 --> 01:37:18.420]   what it means to pray, Lord God, with a genuine desire to see
[01:37:18.420 --> 01:37:23.420]   lost souls saved, even the ones we do not know.
[01:37:23.420 --> 01:37:27.420]   To help us, Lord, to live by faith and not by sight.
[01:37:27.420 --> 01:37:31.420]   Teach us, you know, especially with our theme this year, Lord,
[01:37:31.420 --> 01:37:34.420]   as we desire to be a church that really prays.
[01:37:34.420 --> 01:37:37.420]   For though we are weak, Lord, would You make us strong,
[01:37:37.420 --> 01:37:40.420]   that we would be vessels used for Your kingdom.
[01:37:40.420 --> 01:37:43.420]   And help us, Lord, to be a church that exalts and glorifies You
[01:37:43.420 --> 01:37:45.420]   in all that we do.
[01:37:45.420 --> 01:37:48.420]   So again, Lord, we thank You so much for this evening,
[01:37:48.420 --> 01:37:53.420]   for this opportunity to gather, to worship You, to pray, Lord.
[01:37:53.420 --> 01:37:58.420]   Would we be a church that truly glorifies You in all that we do.
[01:37:58.420 --> 01:38:01.420]   So we thank You, Lord, for all that You are to us and all that
[01:38:01.420 --> 01:38:03.420]   You have done for us.
[01:38:03.420 --> 01:38:07.420]   In Jesus' name we pray, amen.
[01:38:07.420 --> 01:38:10.420]   Thank you, everyone, for coming this evening.
[01:38:10.420 --> 01:38:13.420]   We want to ask you guys to be safe.
[01:38:13.420 --> 01:38:15.420]   Thank you again.
[01:38:15.420 --> 01:38:31.420]   [music]
[01:38:31.420 --> 01:38:39.420]   [music]
[01:38:39.420 --> 01:38:45.420]   [music]

