
[00:00:00.000 --> 00:00:04.000]   I first believed
[01:10:35.000 --> 01:10:42.000]   We work better. It's kind of like, you know, you put two horses together, they work harder.
[01:10:42.000 --> 01:10:48.000]   Right? So we're yoked for God's work.
[01:10:48.000 --> 01:10:55.000]   And that's the answer that we give because we're programmed to give theologically correct answers.
[01:10:55.000 --> 01:10:57.000]   But if you ask people, like, "Why do you get married?"
[01:10:57.000 --> 01:11:01.000]   They say, "She's pretty."
[01:11:01.000 --> 01:11:05.000]   Right? "Don't act godly."
[01:11:05.000 --> 01:11:08.000]   Give you a real answer.
[01:11:08.000 --> 01:11:14.000]   Like the way she looked, the way she tied her ponytail, like the way she smells.
[01:11:14.000 --> 01:11:18.000]   And she happened to love Jesus.
[01:11:18.000 --> 01:11:22.000]   You get married because you want to get married.
[01:11:22.000 --> 01:11:24.000]   You were never burdened to get married.
[01:11:24.000 --> 01:11:26.000]   You get married because you want to get married.
[01:11:26.000 --> 01:11:29.000]   You want to because you're happy when you're with her.
[01:11:29.000 --> 01:11:35.000]   You'd rather be with her than your smelly friends.
[01:11:35.000 --> 01:11:42.000]   God gave Eve to Adam, right, as a gift.
[01:11:42.000 --> 01:11:44.000]   God gave the church to us as a gift.
[01:11:44.000 --> 01:11:49.000]   God gave our salvation as a gift.
[01:11:49.000 --> 01:11:54.000]   And instead of thanking him and loving him for the gift that he's given,
[01:11:54.000 --> 01:11:58.000]   we are so busy trying to get it right
[01:11:58.000 --> 01:12:03.000]   and completely forget the central reason why he saved us.
[01:12:03.000 --> 01:12:07.000]   To enjoy him and to glorify him forever.
[01:12:07.000 --> 01:12:09.000]   That's why he's tested.
[01:12:09.000 --> 01:12:14.000]   To make sure that his faith is founded upon his word,
[01:12:14.000 --> 01:12:20.000]   that our greatest love is where we get the greatest joy.
[01:12:20.000 --> 01:12:24.000]   So as we open up the communion table,
[01:12:24.000 --> 01:12:27.000]   communion table is meant for celebration, right,
[01:12:27.000 --> 01:12:29.000]   for those who committed their life to Christ,
[01:12:29.000 --> 01:12:31.000]   and you know what I'm talking about, right?
[01:12:31.000 --> 01:12:35.000]   So again, I want to remind you, the communion table is for the baptized believers.
[01:12:35.000 --> 01:12:38.000]   So if you have not been baptized, please come see one of the leaders,
[01:12:38.000 --> 01:12:41.000]   and we'll walk you through if you need to be baptized.
[01:12:41.000 --> 01:12:46.000]   For those of us who are celebrating, the purpose of this is to remind us to recalibrate.
[01:12:46.000 --> 01:12:49.000]   If we've drifted from God in any way,
[01:12:49.000 --> 01:12:52.000]   if we've, again, made the walk with God a burden
[01:12:52.000 --> 01:12:55.000]   instead of a celebration of who he is,
[01:12:55.000 --> 01:12:57.000]   that we come to celebrate. It's not by our works.
[01:12:57.000 --> 01:13:00.000]   We don't participate in this because we're righteous.
[01:13:00.000 --> 01:13:03.000]   We don't participate in this because you were good this week.
[01:13:03.000 --> 01:13:06.000]   We participate in this because of the gift that he has given us.
[01:13:06.000 --> 01:13:09.000]   So I'm going to pray for us,
[01:13:09.000 --> 01:13:11.000]   and then we're going to open up the communion table,
[01:13:11.000 --> 01:13:13.000]   and so we're going to do it together, okay?
[01:13:13.000 --> 01:13:17.000]   So what I would like you to do is to take a few minutes in preparation.
[01:13:17.000 --> 01:13:20.000]   The Bible says in 1 Corinthians 11,
[01:13:20.000 --> 01:13:23.000]   "For I received from the Lord that which I also delivered to you,
[01:13:23.000 --> 01:13:27.000]   that the Lord Jesus in the night in which he was betrayed took bread.
[01:13:27.000 --> 01:13:30.000]   And when he had given things, he broke it and said,
[01:13:30.000 --> 01:13:33.000]   'This is my body, which is for you. Do this in remembrance of me.'
[01:13:33.000 --> 01:13:36.000]   In the same way, he took the cup also after supper,
[01:13:36.000 --> 01:13:39.000]   saying, 'This cup is the new covenant in my blood.
[01:13:39.000 --> 01:13:42.000]   Do this as often as you drink it in remembrance of me.
[01:13:42.000 --> 01:13:45.000]   For as often as you eat this bread and drink the cup,
[01:13:45.000 --> 01:13:48.000]   you proclaim the Lord's death until he comes.'"
[01:13:48.000 --> 01:13:50.000]   So what I would like you to do,
[01:13:50.000 --> 01:13:53.000]   we're going to have communion music in the back,
[01:13:53.000 --> 01:13:56.000]   and to take the time as the music is going
[01:13:56.000 --> 01:14:00.000]   to really pray and examine our hearts so that we don't put spinning on worthy men.
[01:14:00.000 --> 01:14:04.000]   If you have sense to confess, take some time to confess.
[01:14:04.000 --> 01:14:09.000]   If you have a relationship that's been broken that you need to restore,
[01:14:09.000 --> 01:14:12.000]   take some time to really come before the Lord and say,
[01:14:12.000 --> 01:14:15.000]   "Lord, help me."
[01:14:15.000 --> 01:14:18.000]   I want to be obedient to you, I want to honor you,
[01:14:18.000 --> 01:14:20.000]   I want to celebrate what you've done for me.
[01:14:20.000 --> 01:14:23.000]   So take some time to meditate and to pray,
[01:14:23.000 --> 01:14:27.000]   and afterwards, I will pray and we will all do it together.
[01:14:27.000 --> 01:14:30.000]   So don't do it now, at the end of that we'll do it together,
[01:14:30.000 --> 01:14:34.000]   and then the worship team will lead us to the end of the communion service.
[01:14:34.000 --> 01:14:36.000]   So let's take some time to pray.
[01:14:36.000 --> 01:14:41.000]   ♪ ♪ ♪
[01:14:41.000 --> 01:14:48.000]   ♪ Before you eat, before you drink ♪
[01:14:48.000 --> 01:14:57.000]   ♪ Take a long look inside and tell me what you see ♪
[01:14:57.000 --> 01:15:05.000]   ♪ He said, "Do this in remembrance of me" ♪
[01:15:05.000 --> 01:15:12.000]   ♪ "Do this in remembrance of me" ♪
[01:15:12.000 --> 01:15:19.000]   ♪ This is the bread of life broken for you ♪
[01:15:19.000 --> 01:15:26.000]   ♪ This is the cup that holds the wine of a new covenant ♪
[01:15:26.000 --> 01:15:32.000]   ♪ This is the love of Christ put out anew ♪
[01:15:32.000 --> 01:15:39.000]   ♪ This is the Son of God who died for you ♪
[01:15:39.000 --> 01:15:47.000]   ♪ Before you eat, before you drink ♪
[01:15:47.000 --> 01:15:56.000]   ♪ Take a long look inside and tell me what you see ♪
[01:15:56.000 --> 01:16:02.000]   ♪ Then do this in remembrance of me ♪
[01:16:02.000 --> 01:16:10.000]   ♪ Oh, do this in remembrance of me ♪
[01:16:10.000 --> 01:16:14.000]   ♪ ♪ ♪
[01:16:14.000 --> 01:16:18.000]   If you can pick up with me, if you take the first part of it.
[01:16:18.000 --> 01:16:20.000]   You've got to pick up with me this before you know it.
[01:16:20.000 --> 01:16:22.000]   The first classic part of it, hold on.
[01:16:22.000 --> 01:16:25.000]   You want to take the leafer out and take the second part.
[01:16:25.000 --> 01:16:32.000]   ♪ I will remember the cross that you bore for me ♪
[01:16:32.000 --> 01:16:39.000]   ♪ I will remember the crown that you wore for me ♪
[01:16:39.000 --> 01:16:49.000]   ♪ I will remember the reason you suffered and died ♪
[01:16:49.000 --> 01:16:52.000]   And you start crying.
[01:16:52.000 --> 01:17:00.000]   ♪ This is my body given for you ♪
[01:17:00.000 --> 01:17:03.000]   ♪ This is the cup ♪
[01:17:03.000 --> 01:17:07.000]   Because you loved us, that we would also practice this love.
[01:17:07.000 --> 01:17:12.000]   First and foremost with you, with those who are nearest to us,
[01:17:12.000 --> 01:17:16.000]   to the strangers around us, to our neighbors,
[01:17:16.000 --> 01:17:20.000]   but even to those, Lord God, that have hurt us.
[01:17:20.000 --> 01:17:23.000]   Teach us to practice this love that you've given us
[01:17:23.000 --> 01:17:26.000]   in response to the love you've given us.
[01:17:26.000 --> 01:17:31.000]   May your sacrifice return to you 30, 60, 100 fold
[01:17:31.000 --> 01:17:34.000]   in greater love, in greater glory.
[01:17:34.000 --> 01:17:37.000]   In Jesus' name we pray, amen.
[01:17:37.000 --> 01:17:40.000]   Let's all stand up for the closing praise.
[01:17:46.000 --> 01:18:01.000]   ♪
[01:18:01.000 --> 01:18:07.000]   ♪ Behold the Lamb who bears our sins away ♪
[01:18:07.000 --> 01:18:12.000]   ♪ Slain for us ♪
[01:18:12.000 --> 01:18:17.000]   ♪ And we remember the promise made ♪
[01:18:17.000 --> 01:18:21.000]   ♪ That all who come in faith ♪
[01:18:21.000 --> 01:18:28.000]   ♪ Find forgiveness at the cross ♪
[01:18:28.000 --> 01:18:35.000]   ♪ So we share in the spread of life ♪
[01:18:35.000 --> 01:18:42.000]   ♪ And we drink of his sacrifice ♪
[01:18:42.000 --> 01:18:50.000]   ♪ As a sign of our bonds of peace ♪
[01:18:50.000 --> 01:18:55.000]   ♪ Around the table of the King ♪
[01:18:55.000 --> 01:19:00.000]   ♪
[01:19:00.000 --> 01:19:05.000]   ♪ The body of our Savior Jesus Christ ♪
[01:19:05.000 --> 01:19:10.000]   ♪ Torn for you ♪
[01:19:10.000 --> 01:19:16.000]   ♪ Eat and remember those that heal the dead ♪
[01:19:16.000 --> 01:19:26.000]   ♪ That brings us life, paid the price to make us one ♪
[01:19:26.000 --> 01:19:33.000]   ♪ So we share in the spread of life ♪
[01:19:33.000 --> 01:19:40.000]   ♪ And we drink of his sacrifice ♪
[01:19:40.000 --> 01:19:48.000]   ♪ As a sign of our bonds of love ♪
[01:19:48.000 --> 01:19:52.000]   ♪ Around the table of the King ♪
[01:19:52.000 --> 01:20:04.000]   ♪
[01:20:04.000 --> 01:20:09.000]   ♪ The blood that cleanses every stain of sin ♪
[01:20:09.000 --> 01:20:14.000]   ♪ Shed for you ♪
[01:20:14.000 --> 01:20:18.000]   ♪ Drink and remember ♪
[01:20:18.000 --> 01:20:23.000]   ♪ He drained death's cup that all may enter in ♪
[01:20:23.000 --> 01:20:30.000]   ♪ To receive the life of God ♪
[01:20:30.000 --> 01:20:37.000]   ♪ So we share in the spread of life ♪
[01:20:37.000 --> 01:20:44.000]   ♪ And we drink of his sacrifice ♪
[01:20:44.000 --> 01:20:52.000]   ♪ As a sign of our bonds of grace ♪
[01:20:52.000 --> 01:20:57.000]   ♪ Around the table of the King ♪
[01:20:57.000 --> 01:21:09.000]   ♪
[01:21:09.000 --> 01:21:19.000]   ♪ And so with thankfulness and faith we rise to respond ♪
[01:21:19.000 --> 01:21:28.000]   ♪ And to remember our call to follow in the steps of Christ ♪
[01:21:28.000 --> 01:21:35.000]   ♪ As his body here on earth ♪
[01:21:35.000 --> 01:21:42.000]   ♪ As we share in his suffering ♪
[01:21:42.000 --> 01:21:49.000]   ♪ We proclaim Christ will come again ♪
[01:21:49.000 --> 01:21:57.000]   ♪ As we'll join in the feast of heaven ♪
[01:21:57.000 --> 01:22:04.000]   ♪ Around the table of the King ♪
[01:22:04.000 --> 01:22:09.000]   ♪ Around the table of the King ♪
[01:22:09.000 --> 01:22:13.000]   ♪
[01:22:13.000 --> 01:22:17.000]   Let's pray.
[01:22:17.000 --> 01:22:23.000]   Father, you are worthy of our trust, our faith, our confidence.
[01:22:23.000 --> 01:22:26.000]   Lord, you are our refuge.
[01:22:26.000 --> 01:22:32.000]   Not the promises of man, not our bank account, not our politicians.
[01:22:32.000 --> 01:22:34.000]   You are our refuge.
[01:22:34.000 --> 01:22:38.000]   Lord, help us to be reminded of that.
[01:22:38.000 --> 01:22:45.000]   That we would build our lives, Lord, on solid foundation of who you are and your promises.
[01:22:45.000 --> 01:22:50.000]   Lord, you truly are worthy of our adoration.
[01:22:50.000 --> 01:22:55.000]   Help us to love you above everything else.
[01:22:55.000 --> 01:23:00.000]   Help us, Lord God, to worship you because we adore you.
[01:23:00.000 --> 01:23:05.000]   Help us to come to your word that we may know you more.
[01:23:05.000 --> 01:23:10.000]   Help us to be disciples, Lord God, because we want to be like you.
[01:23:10.000 --> 01:23:18.000]   Help us to be evangelists, Lord God, because we want others to know this and to love you as well.
[01:23:18.000 --> 01:23:25.000]   So we pray, Father God, that the word that you've implanted in us would bear fruit.
[01:23:25.000 --> 01:23:32.000]   Especially, Lord, as the world gets darker and there's increase in wickedness.
[01:23:32.000 --> 01:23:43.000]   Spare us, Lord God, from temptation, that our love would not grow cold, but rather be flamed stronger than ever.
[01:23:43.000 --> 01:23:50.000]   Help us to be anchored in Christ this week as we continue to walk a life of faith for your glory.
[01:23:50.000 --> 01:23:52.000]   In Jesus' name we pray, amen.
[01:23:52.000 --> 01:23:55.000]   [Music]
[01:23:55.000 --> 01:23:58.000]   [Music]
[01:23:58.000 --> 01:24:08.000]   They called him Jesus, he lay to die.
[01:24:08.000 --> 01:24:18.000]   He lay for care, he lived and died.
[01:24:18.000 --> 01:24:33.000]   To buy my body, an empty grave is there to give a Savior's name.
[01:24:33.000 --> 01:24:43.000]   Because he lives, I can face tomorrow.
[01:24:43.000 --> 01:24:53.000]   Because he lives, all fear is gone.
[01:24:53.000 --> 01:25:03.000]   Because I know he holds the future.
[01:25:03.000 --> 01:25:16.000]   And life is worth the living just because he lives.
[01:25:16.000 --> 01:25:23.000]   Amen.
[01:25:23.000 --> 01:25:38.000]   [Praying in Tongues]
[01:25:38.000 --> 01:25:48.000]   [Praying in Tongues]
[01:25:48.000 --> 01:25:55.000]   [Praying in Tongues]

