
[00:00:00.000 --> 00:00:02.340]   ♪ The blood ♪
[01:13:51.420 --> 01:13:55.420]   It's like, "Wait a minute. Maybe you guys are like the engineers.
[01:13:55.420 --> 01:13:57.420]   You need the written code."
[01:13:57.420 --> 01:13:59.420]   And you're like, "I just need to follow the lines.
[01:13:59.420 --> 01:14:01.420]   What am I supposed to do then?
[01:14:01.420 --> 01:14:04.420]   What if there's a guy who's just selfish and he's asking me stuff?
[01:14:04.420 --> 01:14:07.420]   Do I give now? Do I not give? What do you do?"
[01:14:07.420 --> 01:14:11.420]   And some of the stuff, yeah, when he even brings it up,
[01:14:11.420 --> 01:14:14.420]   it's not like, "Is that sin?"
[01:14:14.420 --> 01:14:18.420]   If someone sues me because they think I did something wrong,
[01:14:18.420 --> 01:14:20.420]   do you see what I'm saying?
[01:14:20.420 --> 01:14:23.420]   And I almost have this malfunction in my head.
[01:14:23.420 --> 01:14:26.420]   I'm like, "Wait a minute. You've got to give me more.
[01:14:26.420 --> 01:14:29.420]   God, why are you not as clear as can be here, right?
[01:14:29.420 --> 01:14:32.420]   You've got to give me more parameters."
[01:14:32.420 --> 01:14:34.420]   But I want to give you a challenge.
[01:14:34.420 --> 01:14:38.420]   And this is something I realize. This is just my immaturity.
[01:14:38.420 --> 01:14:41.420]   When God is giving us these commands,
[01:14:41.420 --> 01:14:44.420]   He is not trying to give you the minutiae
[01:14:44.420 --> 01:14:48.420]   so that all you have to do is do a logical mind flow,
[01:14:48.420 --> 01:14:51.420]   a logical standard operating procedure
[01:14:51.420 --> 01:14:55.420]   so that you can go, "Oh, if A then B, then I can go here."
[01:14:55.420 --> 01:14:57.420]   Do you understand what He says?
[01:14:57.420 --> 01:15:01.420]   Imitate your Father. Be like Him.
[01:15:01.420 --> 01:15:05.420]   And for those of you guys who have had parents who are wise and godly,
[01:15:05.420 --> 01:15:08.420]   so when it was time to be compassionate for those who are weak,
[01:15:08.420 --> 01:15:12.420]   they were so meek and compassionate, and they were humble in heart.
[01:15:12.420 --> 01:15:15.420]   But when it came down to make sure that they laid down the law,
[01:15:15.420 --> 01:15:17.420]   and they were strict, and they made sure that people knew,
[01:15:17.420 --> 01:15:21.420]   "You can't do this stuff underneath our house because that's sin."
[01:15:21.420 --> 01:15:24.420]   And you looked at them, and you realized, "Oh my goodness, there's wisdom in that.
[01:15:24.420 --> 01:15:27.420]   There's part of you that wishes there was a manual book for that."
[01:15:27.420 --> 01:15:33.420]   But more so what you're doing is you're trying to emulate your wise Father.
[01:15:33.420 --> 01:15:37.420]   If you had that in your life, blessed, you're blessed.
[01:15:37.420 --> 01:15:42.420]   If you didn't have that in your life, you have the Lord Jesus Christ.
[01:15:42.420 --> 01:15:46.420]   So strong, He knew the heart of men.
[01:15:46.420 --> 01:15:50.420]   So strong that He would not back down.
[01:15:50.420 --> 01:15:52.420]   So strong He spoke with authority.
[01:15:52.420 --> 01:15:55.420]   So strong He silenced people.
[01:15:55.420 --> 01:15:59.420]   So strong He took a court of whips and chased the marketeers, right,
[01:15:59.420 --> 01:16:02.420]   the money makers from the temple.
[01:16:02.420 --> 01:16:06.420]   And yet so humble.
[01:16:06.420 --> 01:16:08.420]   Talk about dignity.
[01:16:08.420 --> 01:16:10.420]   Talk about slapping in the face.
[01:16:10.420 --> 01:16:13.420]   Have you ever thought about being spit on in the face
[01:16:13.420 --> 01:16:20.420]   when you are the Lord of the universe and not saying anything back?
[01:16:20.420 --> 01:16:23.420]   Think about being forced, being forced to carry a beam,
[01:16:23.420 --> 01:16:26.420]   being forced to be stretched out then whipped.
[01:16:26.420 --> 01:16:29.420]   People asking you, "Why don't you do this, Jesus?
[01:16:29.420 --> 01:16:30.420]   Why don't you throw yourself down?
[01:16:30.420 --> 01:16:31.420]   Why don't you do this, Jesus?
[01:16:31.420 --> 01:16:32.420]   Why don't you feed all of us?
[01:16:32.420 --> 01:16:34.420]   Why don't you do--"
[01:16:34.420 --> 01:16:36.420]   Have you thought about that?
[01:16:36.420 --> 01:16:40.420]   When Jesus is saying those things and the death to which,
[01:16:40.420 --> 01:16:44.420]   you recognize He's done all that.
[01:16:44.420 --> 01:16:47.420]   You have a wise example in your Lord.
[01:16:47.420 --> 01:16:50.420]   But what's more, you have a wise example in your Father,
[01:16:50.420 --> 01:16:52.420]   our God in heaven,
[01:16:52.420 --> 01:16:57.420]   who is showing to us His incredible character, where it's both, right?
[01:16:57.420 --> 01:17:01.420]   It's both absolute righteousness, absolute sinlessness.
[01:17:01.420 --> 01:17:05.420]   It is a fearful thing because God says, "I will judge everything,
[01:17:05.420 --> 01:17:09.420]   even the thoughts and intentions that you think nobody sees."
[01:17:09.420 --> 01:17:12.420]   And what He cares for is the insides, your internals,
[01:17:12.420 --> 01:17:18.420]   the actual content of your mind and your heart as it relates to godliness.
[01:17:18.420 --> 01:17:23.420]   And what He's saying is, "Be like Me. Be like Me."
[01:17:23.420 --> 01:17:25.420]   And then as I thought about that,
[01:17:25.420 --> 01:17:29.420]   there was a part of me as I was doing my devotion, and I thought,
[01:17:29.420 --> 01:17:31.420]   "Oh, man.
[01:17:31.420 --> 01:17:36.420]   I regularly underestimate how sinful I am.
[01:17:36.420 --> 01:17:37.420]   And I think my intentions are pretty good.
[01:17:37.420 --> 01:17:40.420]   I make mistakes, but I'm--you know, like,
[01:17:40.420 --> 01:17:43.420]   I sorely underestimate how sinful I am."
[01:17:43.420 --> 01:17:46.420]   And when you see this, and you walk down Matthew,
[01:17:46.420 --> 01:17:48.420]   and he's talking about "blessed are the meek, poor, gentle,"
[01:17:48.420 --> 01:17:51.420]   all this kind of stuff, and he's like, "You should be salty,"
[01:17:51.420 --> 01:17:53.420]   and he starts talking about, "You shouldn't be angry.
[01:17:53.420 --> 01:17:58.420]   You shouldn't lust." And you're like, "Fail, fail, fail, fail, fail," right?
[01:17:58.420 --> 01:18:00.420]   You could have this weird sentiment,
[01:18:00.420 --> 01:18:03.420]   like this half-rebellious, half-discouraged sentiment in your heart,
[01:18:03.420 --> 01:18:07.420]   like, "I don't know if I can do that."
[01:18:07.420 --> 01:18:10.420]   Have you guys ever read scripture and felt like that?
[01:18:10.420 --> 01:18:14.420]   Or felt so discouraged, like, you almost don't want to look up,
[01:18:14.420 --> 01:18:19.420]   and then you kind of want to say to God, like, "I'll try.
[01:18:19.420 --> 01:18:21.420]   I have tried," you know?
[01:18:21.420 --> 01:18:25.420]   And I want to encourage you because you have heard it said,
[01:18:25.420 --> 01:18:30.420]   "Eye for an eye," and people could not keep that even, right?
[01:18:30.420 --> 01:18:35.420]   Historically, mankind has been so riddled with sin,
[01:18:35.420 --> 01:18:37.420]   even though you have heard it said,
[01:18:37.420 --> 01:18:41.420]   even the traditions of the old, they were not actually able to keep.
[01:18:41.420 --> 01:18:45.420]   And so, again, if you're looking at the law of Christ now,
[01:18:45.420 --> 01:18:48.420]   given to His disciples, please don't be discouraged,
[01:18:48.420 --> 01:18:51.420]   because I want to give to you something as an encouragement.
[01:18:51.420 --> 01:18:54.420]   Even the law of the Old Testament, "eye for an eye,"
[01:18:54.420 --> 01:18:57.420]   I believe came from a fatherly heart
[01:18:57.420 --> 01:19:01.420]   that desired to restrain the sinful children.
[01:19:01.420 --> 01:19:03.420]   It's kind of like a dad.
[01:19:03.420 --> 01:19:06.420]   He sees his two kids just at each other's throat, like, "That's mine!
[01:19:06.420 --> 01:19:09.420]   No, you took it! It's mine!" Right?
[01:19:09.420 --> 01:19:12.420]   The dad jumps in and says, "Stop! You only get two minutes!
[01:19:12.420 --> 01:19:15.420]   You only get--that's the law! It's going to be fair!" Right?
[01:19:15.420 --> 01:19:17.420]   That's not him just being annoyed.
[01:19:17.420 --> 01:19:20.420]   He's actually preventing them destroying each other.
[01:19:20.420 --> 01:19:25.420]   But remember also, when you hear God saying, "Be like me,"
[01:19:25.420 --> 01:19:28.420]   that is fatherly love and instruction for you.
[01:19:28.420 --> 01:19:31.420]   Because God said in His love for you,
[01:19:31.420 --> 01:19:34.420]   "I want to share my glory with you,"
[01:19:34.420 --> 01:19:36.420]   which I realize He is also saying,
[01:19:36.420 --> 01:19:39.420]   "I am sharing my character trait with you.
[01:19:39.420 --> 01:19:43.420]   I want you to be like me in my righteousness, in my love,
[01:19:43.420 --> 01:19:46.420]   the depth to which, yes, you don't fully understand now,
[01:19:46.420 --> 01:19:48.420]   but I'm showing you.
[01:19:48.420 --> 01:19:52.420]   I have enemies of which you were one, and I came for you.
[01:19:52.420 --> 01:19:57.420]   And I fed you, loved you, even when you were rejecting me and spitting.
[01:19:57.420 --> 01:20:01.420]   I want you to be like me."
[01:20:01.420 --> 01:20:06.420]   That is not something for us to be like, "I just can't do that stuff." Right?
[01:20:06.420 --> 01:20:09.420]   "I can't abide by all your rules."
[01:20:09.420 --> 01:20:11.420]   Think about it another way.
[01:20:11.420 --> 01:20:17.420]   That's for us to be like, "Thank you, Lord, for being my heavenly Father
[01:20:17.420 --> 01:20:23.420]   and desiring and saying in your word, 'You shall be perfect.'"
[01:20:23.420 --> 01:20:25.420]   That's grace upon you. Amen?
[01:20:25.420 --> 01:20:27.420]   That's love for you.
[01:20:27.420 --> 01:20:29.420]   That's fatherly instruction to you.
[01:20:29.420 --> 01:20:32.420]   So we don't be discouraged when we find these things,
[01:20:32.420 --> 01:20:36.420]   but rather we recognize we need this in this life.
[01:20:36.420 --> 01:20:40.420]   A lot of us have been saying we feel persecution knocking at the door
[01:20:40.420 --> 01:20:44.420]   for those living here comfortably in Orange County.
[01:20:44.420 --> 01:20:48.420]   We are going to have people perhaps accuse us falsely.
[01:20:48.420 --> 01:20:52.420]   We're going to have people try to force us to do things we don't like.
[01:20:52.420 --> 01:20:57.420]   And if you're going to be like, "I'm an American, and I have rights!"
[01:20:57.420 --> 01:21:00.420]   You do, and that's also true.
[01:21:00.420 --> 01:21:03.420]   But God desires us to be even more,
[01:21:03.420 --> 01:21:09.420]   to have such a wealth where this country is not everything to us,
[01:21:09.420 --> 01:21:13.420]   and we have this fist, this tight-gripped fist,
[01:21:13.420 --> 01:21:17.420]   where we're like, "Don't you dare threaten the rights that I have!"
[01:21:17.420 --> 01:21:20.420]   But rather this heart overflowing with the love that Christ says,
[01:21:20.420 --> 01:21:22.420]   "I've got more to give."
[01:21:22.420 --> 01:21:25.420]   Why? That's just like my dad.
[01:21:25.420 --> 01:21:33.420]   Let's take a moment to pray.
[01:21:33.420 --> 01:21:37.420]   Our God, we want to again thank you so much.
[01:21:37.420 --> 01:21:42.420]   We recognize, God, that by your word you're leading us, you're teaching us.
[01:21:42.420 --> 01:21:46.420]   And it is our prayer, God, that we would be humbled to recognize
[01:21:46.420 --> 01:21:51.420]   that there are many elements of this, Lord, in different facets of our lives.
[01:21:51.420 --> 01:21:55.420]   We do retaliate, and sometimes for us it's even confusing.
[01:21:55.420 --> 01:22:00.420]   Are we trying to uphold the law of God, or are we just getting even?
[01:22:00.420 --> 01:22:03.420]   And I pray, God, that you give us discernment.
[01:22:03.420 --> 01:22:07.420]   Discernment, Lord, God, in our homes, in our workplaces,
[01:22:07.420 --> 01:22:10.420]   so that, Lord, we will shine your glory,
[01:22:10.420 --> 01:22:16.420]   so that, Father God, people can see the power of our Father working in us.
[01:22:16.420 --> 01:22:19.420]   And so I pray, Father God, we humbly acknowledge
[01:22:19.420 --> 01:22:21.420]   none of the things you challenge us to do,
[01:22:21.420 --> 01:22:24.420]   none of the things that you have commanded us to be,
[01:22:24.420 --> 01:22:26.420]   is capable in our power.
[01:22:26.420 --> 01:22:29.420]   So we ask of you, Lord, that you would aid us through your truth,
[01:22:29.420 --> 01:22:31.420]   and that you would guide us in your Spirit.
[01:22:31.420 --> 01:22:35.420]   We thank you, it's in Christ's name we pray, amen.
[01:22:35.420 --> 01:22:38.420]   Let us all rise as we sing our closing praise.
[01:22:38.420 --> 01:23:00.420]   [piano playing]
[01:23:00.420 --> 01:23:02.420]   Though the nations rage,
[01:23:02.420 --> 01:23:07.420]   Though the nations rage,
[01:23:07.420 --> 01:23:11.420]   Kingdoms rise and fall,
[01:23:11.420 --> 01:23:16.420]   There is still one King,
[01:23:16.420 --> 01:23:20.420]   Ruling over all.
[01:23:20.420 --> 01:23:25.420]   So I will not fear,
[01:23:25.420 --> 01:23:29.420]   For this truth remains,
[01:23:29.420 --> 01:23:36.420]   That my God is the Ancient of Days.
[01:23:36.420 --> 01:23:43.420]   Then above Him, and before Him,
[01:23:43.420 --> 01:23:47.420]   All the time in His hands,
[01:23:47.420 --> 01:23:51.420]   For His throne it shall remain,
[01:23:51.420 --> 01:23:54.420]   And ever stand.
[01:23:57.420 --> 01:24:02.420]   All the power, all the glory,
[01:24:02.420 --> 01:24:06.420]   I will trust in His name,
[01:24:06.420 --> 01:24:13.420]   He my God is, the Ancient of Days.
[01:24:13.420 --> 01:24:24.420]   Though the dreadful night overwhelms my soul,
[01:24:24.420 --> 01:24:29.420]   He is here with me,
[01:24:29.420 --> 01:24:33.420]   I am not alone.
[01:24:33.420 --> 01:24:38.420]   Oh His love is sure,
[01:24:38.420 --> 01:24:42.420]   And He knows my name,
[01:24:42.420 --> 01:24:49.420]   For my God is, the Ancient of Days.
[01:24:49.420 --> 01:24:56.420]   Then above Him, and before Him,
[01:24:56.420 --> 01:25:00.420]   All the time in His hands,
[01:25:00.420 --> 01:25:05.420]   For His throne it shall remain,
[01:25:05.420 --> 01:25:08.420]   And ever stand.
[01:25:08.420 --> 01:25:14.420]   All the power, all the glory,
[01:25:14.420 --> 01:25:19.420]   I will trust in His name,
[01:25:19.420 --> 01:25:26.420]   For my God is, the Ancient of Days.
[01:25:40.420 --> 01:25:46.420]   Though I may not see,
[01:25:46.420 --> 01:25:51.420]   What the future brings,
[01:25:51.420 --> 01:25:55.420]   I will watch and wait,
[01:25:55.420 --> 01:26:00.420]   For the Savior came,
[01:26:00.420 --> 01:26:04.420]   In my joy come train.
[01:26:04.420 --> 01:26:09.420]   Standing face to face,
[01:26:09.420 --> 01:26:16.420]   In the presence, the Ancient of Days.
[01:26:16.420 --> 01:26:23.420]   Then above Him, and before Him,
[01:26:23.420 --> 01:26:27.420]   All the time in His hands,
[01:26:27.420 --> 01:26:31.420]   For His throne it shall remain,
[01:26:31.420 --> 01:26:34.420]   And ever stand.
[01:26:36.420 --> 01:26:41.420]   All the power, all the glory,
[01:26:41.420 --> 01:26:45.420]   I will trust in His name,
[01:26:45.420 --> 01:26:53.420]   For my God is, the Ancient of Days.
[01:26:53.420 --> 01:27:02.420]   For my God is, the Ancient of Days.
[01:27:02.420 --> 01:27:16.420]   (piano music)
[01:27:16.420 --> 01:27:19.420]   - Let's end our service in a word of prayer.
[01:27:19.420 --> 01:27:23.420]   All right, God, we want to exalt you and lift you on high,
[01:27:23.420 --> 01:27:27.420]   and to proclaim, Father God, that you are perfect.
[01:27:27.420 --> 01:27:30.420]   And God, in your perfection, Lord, we trust you.
[01:27:30.420 --> 01:27:35.420]   We trust that as things go wrong, as things unravel,
[01:27:35.420 --> 01:27:40.420]   we know, Lord God, that you are going to enact your perfect justice in your own time.
[01:27:40.420 --> 01:27:45.420]   And we also know that when that just in comes, it's going to be perfect just like you.
[01:27:45.420 --> 01:27:50.420]   And Lord God, as a fearsome thing, Lord God, that is something wonderful.
[01:27:50.420 --> 01:27:53.420]   And I pray, Father, that we will exercise our trust in you.
[01:27:53.420 --> 01:27:57.420]   As we try to navigate what to do, what's the right thing?
[01:27:57.420 --> 01:28:01.420]   As we even try to control our heart's inclination,
[01:28:01.420 --> 01:28:06.420]   to take justice into our own hands, to have vengeance for ourselves.
[01:28:06.420 --> 01:28:09.420]   But I pray, Father God, that we will learn from you,
[01:28:09.420 --> 01:28:11.420]   and God, that your spirit would guide us.
[01:28:11.420 --> 01:28:14.420]   Now to him who is able to keep you from stumbling,
[01:28:14.420 --> 01:28:17.420]   and to make you stand in the presence of his glory,
[01:28:17.420 --> 01:28:22.420]   blameless with great joy, to the only God, our Savior, through Jesus Christ, our Lord,
[01:28:22.420 --> 01:28:28.420]   be glory, majesty, dominion, and authority before all time and now and forever. Amen.
[01:28:29.420 --> 01:28:33.420]   God sent his Son
[01:28:33.420 --> 01:28:39.420]   They called him Jesus
[01:28:39.420 --> 01:28:49.420]   He came to love, heal and forgive
[01:28:49.420 --> 01:28:55.420]   He lived and died
[01:28:56.420 --> 01:29:01.420]   To buy my portal
[01:29:01.420 --> 01:29:12.420]   An empty grave is there to my Savior let's
[01:29:12.420 --> 01:29:17.420]   Because he lives
[01:29:17.420 --> 01:29:22.420]   I'll be raised tomorrow
[01:29:23.420 --> 01:29:27.420]   Because he lives
[01:29:27.420 --> 01:29:33.420]   All fear is gone
[01:29:33.420 --> 01:29:39.420]   Because I know
[01:29:39.420 --> 01:29:44.420]   He holds the future
[01:29:44.420 --> 01:29:49.420]   And life is worth the living
[01:29:50.420 --> 01:29:55.420]   Just because he lives
[01:29:56.420 --> 01:30:01.420]   For those of you guys who are in the sanctuary,
[01:30:01.420 --> 01:30:04.420]   you guys can take a moment to take a seat.
[01:30:04.420 --> 01:30:07.420]   For those of you guys who are outside in the courtyard,
[01:30:07.420 --> 01:30:11.420]   we do again request that although you guys are fellowshipping,
[01:30:11.420 --> 01:30:13.420]   please don't stay in the courtyard area,
[01:30:13.420 --> 01:30:17.420]   because we're going to be cleaning up and wrapping those things up.
[01:30:17.420 --> 01:30:20.420]   There is extra space at the front of the church,
[01:30:20.420 --> 01:30:22.420]   by the front office side.
[01:30:22.420 --> 01:30:24.420]   There's a lot of shade there, so

