
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:41:49.560 --> 00:41:52.800]   - I think that's what people want to believe,
[00:41:52.800 --> 00:41:54.920]   that they're using them as general purpose models.
[00:41:54.920 --> 00:41:57.520]   But actually when you open up the covers
[00:41:57.520 --> 00:42:00.960]   and look at the volume, 80% of it is some really dumb
[00:42:00.960 --> 00:42:01.800]   use case that you could--
[00:42:01.800 --> 00:42:02.960]   - Like question answering over documents
[00:42:02.960 --> 00:42:03.800]   or something like that.
[00:42:03.800 --> 00:42:04.640]   - Yeah.
[00:42:04.640 --> 00:42:05.460]   - Yeah, that's not--
[00:42:05.460 --> 00:42:07.040]   - I'm trying to get some insight from there, I don't--
[00:42:07.040 --> 00:42:09.800]   - Yeah, so I can tell you the trajectory we've seen.
[00:42:09.800 --> 00:42:13.400]   So really early on, the killer use case was some form
[00:42:13.400 --> 00:42:15.440]   of writing assistant, whether it was a marketing
[00:42:15.440 --> 00:42:16.280]   writing assistant--
[00:42:16.280 --> 00:42:17.120]   - The Jaspers.
[00:42:17.120 --> 00:42:20.080]   - Right, Jasper, Copy AI, we had like seven of them
[00:42:20.080 --> 00:42:20.920]   at one time, right?
[00:42:20.920 --> 00:42:23.120]   And then you had like specialist writing assistants.
[00:42:23.120 --> 00:42:25.320]   Some I think have gone on to be really successful products
[00:42:25.320 --> 00:42:27.360]   like Pseudo-Write or Type AI is another one,
[00:42:27.360 --> 00:42:29.200]   but they're still fundamentally like helping people
[00:42:29.200 --> 00:42:30.400]   write better.
[00:42:30.400 --> 00:42:32.360]   And then I think increasingly we've seen
[00:42:32.360 --> 00:42:34.040]   more diversification.
[00:42:34.040 --> 00:42:35.880]   There was a wave of chat to documents
[00:42:35.880 --> 00:42:37.360]   in one form or another, right?
[00:42:37.360 --> 00:42:38.840]   - Yeah, chat PDF still doing really well.
[00:42:38.840 --> 00:42:39.780]   - Yeah, chat PDF doing super well.
[00:42:39.780 --> 00:42:41.720]   Once RAG started working, like Retrieval Augmented
[00:42:41.720 --> 00:42:43.220]   Generation, there was that.
[00:42:43.220 --> 00:42:46.880]   But since then, as people are more problem driven
[00:42:46.880 --> 00:42:49.200]   and they're like trying to say, okay, how can we use this?
[00:42:49.200 --> 00:42:50.880]   We see a much broader range.
[00:42:50.880 --> 00:42:54.080]   So even within, like take Duolingo as an example,
[00:42:54.080 --> 00:42:55.560]   they've got Duolingo Max.
[00:42:55.560 --> 00:42:57.280]   So that's like a conversational experience,
[00:42:57.280 --> 00:42:59.040]   but they're also using large language models
[00:42:59.040 --> 00:43:00.200]   within the evaluation of that.
[00:43:00.200 --> 00:43:02.080]   They're also using it for content creation.
[00:43:02.080 --> 00:43:03.160]   And each of these companies sort of,
[00:43:03.160 --> 00:43:05.440]   you start with one use case and I feel like it expands
[00:43:05.440 --> 00:43:07.120]   because you just discover more and more things
[00:43:07.120 --> 00:43:09.240]   you can do with the models.
[00:43:09.240 --> 00:43:10.700]   - Yeah, yeah, yeah.
[00:43:10.700 --> 00:43:12.600]   Do you see much code generation?
[00:43:12.600 --> 00:43:13.440]   - Yes.
[00:43:13.440 --> 00:43:17.320]   So I would say that like developer focused tools,
[00:43:17.320 --> 00:43:20.720]   I would say like EdTech and developer focused tools
[00:43:20.720 --> 00:43:22.520]   are like probably two of the biggest areas
[00:43:22.520 --> 00:43:24.200]   that we see people working on.
[00:43:24.200 --> 00:43:25.040]   - Yeah.
[00:43:25.040 --> 00:43:27.160]   I'm always wondering, because code generation
[00:43:27.160 --> 00:43:29.760]   is so structured that you might have some special
[00:43:29.760 --> 00:43:30.640]   affordances for that.
[00:43:30.640 --> 00:43:33.520]   But again, that's entitled a bitter lesson.
[00:43:33.520 --> 00:43:36.120]   I always wonder what we can optimize for,
[00:43:36.120 --> 00:43:38.160]   but that's my optimization brain when I should not.
[00:43:38.160 --> 00:43:39.660]   I should just scale things up.
[00:43:39.660 --> 00:43:43.940]   - I think there's merit in both.
[00:43:43.940 --> 00:43:44.880]   - Yes.
[00:43:44.880 --> 00:43:47.520]   Okay, so today, by the time we release this,
[00:43:47.520 --> 00:43:49.160]   you will have announced your new pricing.
[00:43:49.160 --> 00:43:50.420]   - Yeah, that's right.
[00:43:50.420 --> 00:43:53.120]   So one thing that people have said to us a lot actually
[00:43:53.120 --> 00:43:54.860]   is that the barrier of entry to getting started
[00:43:54.860 --> 00:43:56.480]   with HumanLoop is just quite high.
[00:43:56.480 --> 00:43:59.240]   There isn't, you can't just install an open source package
[00:43:59.240 --> 00:44:01.200]   and just get going or whatever it might be.
[00:44:01.200 --> 00:44:03.460]   And there've been quite a few small companies
[00:44:03.460 --> 00:44:05.280]   that have signed up and then sent us messages,
[00:44:05.280 --> 00:44:07.480]   we're a not-for-profit or an early stage company,
[00:44:07.480 --> 00:44:09.000]   we really want to use HumanLoop,
[00:44:09.000 --> 00:44:10.680]   but it's just prohibitively expensive for now.
[00:44:10.680 --> 00:44:12.480]   We wouldn't mind paying in the future.
[00:44:12.480 --> 00:44:14.700]   And so we've thought really hard about how can we make it,
[00:44:14.700 --> 00:44:17.000]   like lower the barriers to entry for people to try it out
[00:44:17.000 --> 00:44:18.680]   and get started and get value
[00:44:18.680 --> 00:44:21.180]   and have the amount they have to pay scale much more
[00:44:21.180 --> 00:44:22.400]   with the value they get.
[00:44:22.400 --> 00:44:23.740]   So that they're only paying for things
[00:44:23.740 --> 00:44:25.680]   when they've got value from HumanLoop.
[00:44:25.680 --> 00:44:27.460]   And so we will be launching a new set of pricing,
[00:44:27.460 --> 00:44:29.300]   there'll be a free tier, so you can sign up,
[00:44:29.300 --> 00:44:30.740]   you can get going on the website,
[00:44:30.740 --> 00:44:31.880]   you can start building projects
[00:44:31.880 --> 00:44:33.420]   and you won't have to pay anything.
[00:44:33.420 --> 00:44:35.980]   And only once you get to a certain scale,
[00:44:35.980 --> 00:44:37.940]   you've got more than three people on the platform,
[00:44:37.940 --> 00:44:40.060]   you're logging a certain amount of data to us,
[00:44:40.060 --> 00:44:42.780]   then pricing kicks in and it scales with you.
[00:44:42.780 --> 00:44:44.620]   So as your volumes go up,
[00:44:44.620 --> 00:44:46.460]   that's the time when you'll start paying us more.
[00:44:46.460 --> 00:44:47.980]   So much more gradual than it is now.
[00:44:47.980 --> 00:44:50.880]   - And you're tying some features to the tiers.
[00:44:50.880 --> 00:44:53.540]   - A little bit, but mostly we're trying to give you
[00:44:53.540 --> 00:44:56.240]   just a sort of, most of the product experience.
[00:44:56.240 --> 00:44:58.720]   On the free tier, I think there's one or two things
[00:44:58.720 --> 00:45:00.960]   you don't have, but you have almost everything.
[00:45:00.960 --> 00:45:03.280]   And then once you're off the free tier, you have everything,
[00:45:03.280 --> 00:45:05.360]   but you pay, the amount you pay
[00:45:05.360 --> 00:45:06.800]   kind of scales slightly differently.
[00:45:06.800 --> 00:45:08.520]   So you get volume discounts at scale.
[00:45:08.520 --> 00:45:09.360]   - Awesome.
[00:45:09.360 --> 00:45:11.520]   And so this is where one of the hard questions is, right?
[00:45:11.520 --> 00:45:13.120]   Like, is there a graduation risk
[00:45:13.120 --> 00:45:15.440]   as people get very serious about logging?
[00:45:15.440 --> 00:45:17.080]   You brought up Datadog earlier
[00:45:17.080 --> 00:45:19.860]   and for sure Datadog is looking at your market
[00:45:19.860 --> 00:45:22.120]   as much as you're looking at theirs.
[00:45:22.120 --> 00:45:24.580]   So how do you think about that of like,
[00:45:24.580 --> 00:45:27.980]   ultimately at scale becomes a commodity, right?
[00:45:27.980 --> 00:45:28.920]   The logging.
[00:45:28.920 --> 00:45:32.200]   - So I think that actually this is really different to that.
[00:45:32.200 --> 00:45:33.840]   So the more people use it,
[00:45:33.840 --> 00:45:35.360]   we find actually the stickier it becomes.
[00:45:35.360 --> 00:45:36.240]   It's almost the opposite.
[00:45:36.240 --> 00:45:37.600]   That as they get to scale,
[00:45:37.600 --> 00:45:40.400]   so you're right that the millionth feedback data point
[00:45:40.400 --> 00:45:43.440]   is worth a lot less than the thousandth feedback data point.
[00:45:43.440 --> 00:45:45.400]   But what continues to be really valuable
[00:45:45.400 --> 00:45:48.160]   is this infrastructure around the workflow
[00:45:48.160 --> 00:45:50.400]   of prompt management, engineering, fixing things.
[00:45:50.400 --> 00:45:51.800]   So we see, you know, you have,
[00:45:51.800 --> 00:45:53.720]   what happens over time is people put more
[00:45:53.720 --> 00:45:55.560]   and more evaluations onto Human Loop.
[00:45:55.560 --> 00:45:57.000]   They've got more people on their team,
[00:45:57.000 --> 00:45:59.160]   the product manager and also three linguists
[00:45:59.160 --> 00:46:01.560]   and someone else who are opening up the data
[00:46:01.560 --> 00:46:02.880]   that's being logged through Human Loop
[00:46:02.880 --> 00:46:04.720]   back into that interactive environment.
[00:46:04.720 --> 00:46:05.820]   They're rerunning things,
[00:46:05.820 --> 00:46:07.760]   they're plugging in other data sources.
[00:46:07.760 --> 00:46:10.640]   And so over time, actually, the raw logs,
[00:46:10.640 --> 00:46:12.680]   I agree with you, kind of become commoditized.
[00:46:12.680 --> 00:46:15.960]   But the tooling that's needed to be able to
[00:46:15.960 --> 00:46:17.560]   not just kind of collect the data,
[00:46:17.560 --> 00:46:19.880]   but make it useful and do something with it
[00:46:19.880 --> 00:46:21.120]   to improve your model,
[00:46:21.120 --> 00:46:23.000]   that's the bit that becomes more valuable, right?
[00:46:23.000 --> 00:46:24.720]   Once you have something working at scale,
[00:46:24.720 --> 00:46:26.700]   then improving it by a few percentage points
[00:46:26.700 --> 00:46:28.480]   is like very, very impactful.
[00:46:28.480 --> 00:46:31.400]   So a lot of our customers early on
[00:46:31.400 --> 00:46:32.440]   would say exactly this to us,
[00:46:32.440 --> 00:46:34.240]   like, "Oh, we can just dump our logs
[00:46:34.240 --> 00:46:36.280]   to like an S3 bucket or we can plug it."
[00:46:36.280 --> 00:46:38.880]   And then like, "Why do we need a special purpose tool?"
[00:46:38.880 --> 00:46:40.760]   And most of them come back to us later
[00:46:40.760 --> 00:46:41.680]   because what they find is,
[00:46:41.680 --> 00:46:43.440]   "Oh, okay, I've logged something,
[00:46:43.440 --> 00:46:46.040]   but it's really difficult for me to like match up the log
[00:46:46.040 --> 00:46:47.840]   to like what model generated it,
[00:46:47.840 --> 00:46:50.000]   and then quickly run that and try something else."
[00:46:50.000 --> 00:46:51.320]   Or I've like logged something
[00:46:51.320 --> 00:46:53.600]   and that log involved a retrieval.
[00:46:53.600 --> 00:46:55.760]   And I would like to know like what went wrong with retrieval
[00:46:55.760 --> 00:46:58.160]   or which document the retrieval came from,
[00:46:58.160 --> 00:47:00.440]   and I didn't log that information correctly,
[00:47:00.440 --> 00:47:01.280]   et cetera, et cetera.
[00:47:01.280 --> 00:47:04.000]   And like the complexity of like setting this up well
[00:47:04.000 --> 00:47:04.820]   is quite high.
[00:47:04.820 --> 00:47:06.340]   So you can either spend a lot of time,
[00:47:06.340 --> 00:47:09.040]   at that stage, two things happen.
[00:47:09.040 --> 00:47:11.200]   Either people roll their own solution,
[00:47:11.200 --> 00:47:12.640]   and early on, we saw a lot of people
[00:47:12.640 --> 00:47:14.040]   build their own solutions,
[00:47:14.040 --> 00:47:15.540]   or they come and use something like us.
[00:47:15.540 --> 00:47:16.600]   And I think increasingly,
[00:47:16.600 --> 00:47:19.280]   because we've been working on this for now more than a year,
[00:47:19.280 --> 00:47:21.800]   the difference between something you would build yourself
[00:47:21.800 --> 00:47:25.200]   and sort of a bot solution is now quite enormous.
[00:47:25.200 --> 00:47:26.820]   And so I just wouldn't recommend it.
[00:47:26.820 --> 00:47:28.840]   And I guess the difference on the Datadog point
[00:47:28.840 --> 00:47:30.160]   or like other analytics tools,
[00:47:30.160 --> 00:47:31.980]   you mentioned Amplitude or Datadog,
[00:47:31.980 --> 00:47:34.000]   they're much more about passive monitoring.
[00:47:34.000 --> 00:47:36.700]   And I think one of the amazing things about AI
[00:47:36.700 --> 00:47:38.120]   is the interventions you can take
[00:47:38.120 --> 00:47:39.840]   can be very quick and very powerful.
[00:47:39.840 --> 00:47:41.240]   And so coupling very closely
[00:47:41.240 --> 00:47:43.180]   the ability to update a retrieval system
[00:47:43.180 --> 00:47:45.920]   or change a prompt to the analytics data
[00:47:45.920 --> 00:47:47.280]   and allowing you to run those experiments,
[00:47:47.280 --> 00:47:48.600]   I think is very powerful.
[00:47:48.600 --> 00:47:49.440]   - Fantastic answer.
[00:47:49.440 --> 00:47:50.960]   It's almost like we prepped for this.
[00:47:50.960 --> 00:47:51.840]   (both laughing)
[00:47:51.840 --> 00:47:53.760]   - It's also almost like I think about this a lot.
[00:47:53.760 --> 00:47:55.160]   And if I didn't have an answer to that question,
[00:47:55.160 --> 00:47:56.280]   it would be difficult to justify
[00:47:56.280 --> 00:47:57.700]   spending all my time building this.
[00:47:57.700 --> 00:47:59.420]   But I do think it's very important.
[00:47:59.420 --> 00:48:00.260]   - Yeah.
[00:48:00.260 --> 00:48:01.080]   Company building,
[00:48:01.080 --> 00:48:03.600]   what have you changed your mind on as a founder?
[00:48:03.600 --> 00:48:05.120]   - Ah, that's a great question.
[00:48:05.120 --> 00:48:06.200]   So one thing that comes to my mind
[00:48:06.200 --> 00:48:07.440]   as soon as you say company building
[00:48:07.440 --> 00:48:09.800]   is like a piece of advice that Michael Siebel has at YC
[00:48:09.800 --> 00:48:11.680]   which is like, don't do it,
[00:48:11.680 --> 00:48:13.680]   or at least don't do it pre-PMF.
[00:48:13.680 --> 00:48:16.680]   Like one of the biggest failure modes
[00:48:16.680 --> 00:48:18.520]   of early stage startups is,
[00:48:18.520 --> 00:48:19.800]   especially if they've raised investment
[00:48:19.800 --> 00:48:22.520]   from large investors,
[00:48:22.520 --> 00:48:24.480]   is that they persuade themselves
[00:48:24.480 --> 00:48:25.440]   that they have PMF too early
[00:48:25.440 --> 00:48:27.720]   and they go into sort of scaling mode and hiring people.
[00:48:27.720 --> 00:48:29.920]   And a lot of that stuff is important
[00:48:29.920 --> 00:48:32.040]   but distracts from the most important thing
[00:48:32.040 --> 00:48:33.140]   that you have to do,
[00:48:33.140 --> 00:48:34.600]   which is understand the needs
[00:48:34.600 --> 00:48:36.120]   that are most pressing for your customer,
[00:48:36.120 --> 00:48:37.880]   figure out who the right customer is
[00:48:37.880 --> 00:48:39.720]   and build what they really want.
[00:48:39.720 --> 00:48:41.320]   Or if they don't necessarily know what they want,
[00:48:41.320 --> 00:48:42.720]   build what they really need.
[00:48:42.720 --> 00:48:46.680]   So one thing that I believed and I still believe
[00:48:46.680 --> 00:48:48.280]   is that you want to do that at the right time.
[00:48:48.280 --> 00:48:50.920]   That company building too early is a distraction.
[00:48:50.920 --> 00:48:52.280]   - And when was that for you?
[00:48:52.280 --> 00:48:56.120]   - So for us, it was actually November, December last year.
[00:48:56.120 --> 00:48:57.780]   So November, December, 2020.
[00:48:57.780 --> 00:49:00.600]   So we were a four person company for almost two years.
[00:49:00.600 --> 00:49:02.400]   And it was only when everything was breaking,
[00:49:02.400 --> 00:49:04.040]   when all the charts were up and to the right
[00:49:04.040 --> 00:49:07.120]   and we really could not service our customers anymore
[00:49:07.120 --> 00:49:08.620]   because the team was too small.
[00:49:08.620 --> 00:49:11.000]   That's when we started actively hiring people.
[00:49:11.000 --> 00:49:13.200]   And even then we've been really slow
[00:49:13.200 --> 00:49:14.400]   and deliberate about it.
[00:49:14.400 --> 00:49:15.480]   Maybe a little bit too slow,
[00:49:15.480 --> 00:49:17.960]   given how much, there was a lot of suffering
[00:49:17.960 --> 00:49:19.120]   in being that slow.
[00:49:19.120 --> 00:49:21.280]   I wish we had a couple more people when things took off.
[00:49:21.280 --> 00:49:22.200]   There was a period of time,
[00:49:22.200 --> 00:49:24.840]   I would say from November to March,
[00:49:24.840 --> 00:49:27.520]   where all of us were barely functioning
[00:49:27.520 --> 00:49:29.320]   because there was just so much to do.
[00:49:29.320 --> 00:49:34.660]   But we've continued to have the bar set really, really high
[00:49:34.660 --> 00:49:37.040]   and higher slowly and very deliberately.
[00:49:37.040 --> 00:49:40.020]   And I think we get more done with a smaller team
[00:49:40.020 --> 00:49:43.100]   of really, really excellent people
[00:49:43.100 --> 00:49:45.320]   than we would had we hired more people sooner.
[00:49:45.320 --> 00:49:46.980]   So that's something I kind of agreed on.
[00:49:46.980 --> 00:49:49.500]   The other thing that has maybe changed a little bit
[00:49:49.500 --> 00:49:52.540]   in my mind is related to how opinionated you should be.
[00:49:52.540 --> 00:49:54.300]   So I think you asked this question
[00:49:54.300 --> 00:49:56.780]   about opinionation in the product.
[00:49:56.780 --> 00:50:00.500]   And I think there's a risk of just listening
[00:50:00.500 --> 00:50:02.700]   to your customers and building what they want
[00:50:02.700 --> 00:50:04.460]   that can lead to hill climbing.
[00:50:04.460 --> 00:50:06.320]   And I think especially,
[00:50:06.320 --> 00:50:07.580]   and we were guilty of this, I think,
[00:50:07.580 --> 00:50:10.260]   a little bit early on in the first year of Human Lube.
[00:50:10.260 --> 00:50:11.900]   - Oh, you did it well, better than most.
[00:50:11.900 --> 00:50:12.800]   - Thank you.
[00:50:12.800 --> 00:50:15.400]   But I think that where things started working for us
[00:50:15.400 --> 00:50:18.220]   was when we had a lot more strength in our convictions.
[00:50:18.220 --> 00:50:20.220]   When we said, actually, we believe GPT-3
[00:50:20.220 --> 00:50:22.940]   is gonna be the future of how people build this.
[00:50:22.940 --> 00:50:24.260]   And even if people don't believe that today,
[00:50:24.260 --> 00:50:25.900]   we're gonna build for that future.
[00:50:25.900 --> 00:50:26.940]   That is hard to do.
[00:50:26.940 --> 00:50:28.900]   I still think we don't do it enough.
[00:50:28.900 --> 00:50:30.540]   Like I want us to do it even more.
[00:50:30.540 --> 00:50:32.900]   We have things we believe about the future
[00:50:32.900 --> 00:50:34.700]   that are somewhat contrarian.
[00:50:34.700 --> 00:50:37.020]   And being able to plan for that and be opinionated
[00:50:37.020 --> 00:50:38.780]   and build for that future.
[00:50:38.780 --> 00:50:40.460]   And also to be building the things
[00:50:40.460 --> 00:50:41.860]   that we believe our customers need,
[00:50:41.860 --> 00:50:43.680]   not exactly what they ask for.
[00:50:43.680 --> 00:50:45.820]   Because otherwise you end up, I think,
[00:50:45.820 --> 00:50:48.540]   with a lot of very undifferentiated products
[00:50:48.540 --> 00:50:50.740]   that are there for everybody, so they're not for anyone.
[00:50:50.740 --> 00:50:53.340]   And they don't have a strong point of view.
[00:50:53.340 --> 00:50:54.940]   So I think, especially for building dev tools,
[00:50:54.940 --> 00:50:56.140]   I think you should have a point of view.
[00:50:56.140 --> 00:50:57.980]   - Yes, I strongly agree with that.
[00:50:57.980 --> 00:50:59.900]   Hiring, what are you hiring for?
[00:50:59.900 --> 00:51:02.540]   And given that you're now hybrid,
[00:51:02.540 --> 00:51:04.540]   you're spending some time as an NSF,
[00:51:04.540 --> 00:51:05.820]   where are you hiring?
[00:51:05.820 --> 00:51:08.740]   - Yeah, so we're hiring in both SF and London.
[00:51:08.740 --> 00:51:11.800]   The role that is most urgent for me right now, personally,
[00:51:11.800 --> 00:51:14.220]   is hiring for a developer relations engineer.
[00:51:14.220 --> 00:51:17.000]   So this is an engineer who loves community,
[00:51:17.000 --> 00:51:20.580]   loves documentation, loves giving talks, building demos.
[00:51:20.580 --> 00:51:22.060]   As part of launching this new pricing,
[00:51:22.060 --> 00:51:23.320]   where we're gonna have a free tier,
[00:51:23.320 --> 00:51:25.320]   is also having a much bigger push
[00:51:25.320 --> 00:51:28.940]   towards helping individual developers and smaller teams
[00:51:28.940 --> 00:51:30.600]   succeed with HumanLoop as well.
[00:51:30.600 --> 00:51:32.260]   And even developers in larger companies
[00:51:32.260 --> 00:51:35.620]   who just wanna try it out before they're at scale.
[00:51:35.620 --> 00:51:37.180]   And I think to do that well
[00:51:37.180 --> 00:51:40.860]   requires a really good onboarding experience,
[00:51:40.860 --> 00:51:42.580]   really amazing documentation,
[00:51:42.580 --> 00:51:44.220]   and really good community building.
[00:51:44.220 --> 00:51:46.300]   And we need someone fully focused on that.
[00:51:46.300 --> 00:51:47.940]   I don't think it can be someone's part-time job.
[00:51:47.940 --> 00:51:51.320]   We want someone 100% focused on building community.
[00:51:51.320 --> 00:51:53.540]   Ideally, we'd find someone as good as you, Swix,
[00:51:53.540 --> 00:51:54.360]   who to do this job.
[00:51:54.360 --> 00:51:56.180]   So yeah, so if you're a developer relations engineer,
[00:51:56.180 --> 00:51:58.820]   or even if you're just a product-focused engineer
[00:51:58.820 --> 00:52:00.820]   who is excited about AI and ML,
[00:52:00.820 --> 00:52:04.060]   and has some track record of community building,
[00:52:04.060 --> 00:52:06.940]   then that's the role that I would love to hear about.
[00:52:06.940 --> 00:52:09.500]   And we'll be hiring for it primarily in San Francisco.
[00:52:09.500 --> 00:52:11.860]   Although if you are amazing elsewhere, we'll consider it,
[00:52:11.860 --> 00:52:13.580]   but SF being the focus.
[00:52:13.580 --> 00:52:15.340]   - Yeah, thanks for the compliment as well.
[00:52:15.340 --> 00:52:18.300]   But yes, I'd highly recommend people check out the job.
[00:52:18.300 --> 00:52:20.060]   It's already live on the website.
[00:52:20.060 --> 00:52:22.180]   But a lot of people don't know, I have a third blog
[00:52:22.180 --> 00:52:23.700]   that is specifically for dev rel advising,
[00:52:23.700 --> 00:52:25.300]   'cause I do some age-old investing
[00:52:25.300 --> 00:52:27.100]   and people ask me for advice all the time.
[00:52:27.100 --> 00:52:30.540]   And I actually cache my frequently asked questions there.
[00:52:30.540 --> 00:52:31.380]   - Oh, for sure.
[00:52:31.380 --> 00:52:33.580]   - Anything else on the company side that I didn't touch on?
[00:52:33.580 --> 00:52:35.300]   - If you're within YC, this will be boring,
[00:52:35.300 --> 00:52:36.500]   but if you're outside of YC,
[00:52:36.500 --> 00:52:38.860]   I think that you probably can't hear this enough times,
[00:52:38.860 --> 00:52:41.140]   'cause I've seen so many people get this wrong,
[00:52:41.140 --> 00:52:43.780]   which is just like, before PMF,
[00:52:43.780 --> 00:52:45.520]   nothing other than PMF matters.
[00:52:45.520 --> 00:52:49.260]   And there's just so many possible distractions
[00:52:49.260 --> 00:52:51.600]   as a startup founder, or things you could be doing
[00:52:51.600 --> 00:52:53.340]   that sort of feel productive,
[00:52:53.340 --> 00:52:55.220]   but don't actually get you closer to your goal.
[00:52:55.220 --> 00:52:57.380]   Like trying to narrow focus to finding PMF,
[00:52:57.380 --> 00:52:59.500]   and what that means will be a little bit different
[00:52:59.500 --> 00:53:02.060]   for different startups and different experiences.
[00:53:02.060 --> 00:53:03.380]   I have friends who are doing deep tech,
[00:53:03.380 --> 00:53:04.740]   biotech startups or whatever, right?
[00:53:04.740 --> 00:53:07.060]   And so I don't think there's a one size fits all,
[00:53:07.060 --> 00:53:09.740]   but try not to do anything else.
[00:53:09.740 --> 00:53:12.940]   That advice has been really good for us.
[00:53:12.940 --> 00:53:16.340]   And it's often not intuitive.
[00:53:16.340 --> 00:53:19.980]   - Yeah, does HumanLoop have PMF right now?
[00:53:19.980 --> 00:53:22.220]   - I think we have PMF within niches.
[00:53:22.220 --> 00:53:23.820]   So I think we definitely have,
[00:53:23.820 --> 00:53:26.580]   especially for, I would say, if you're a team,
[00:53:26.580 --> 00:53:29.300]   building an LM application within a larger company
[00:53:29.300 --> 00:53:31.300]   then like, yes, we see people sign up,
[00:53:31.300 --> 00:53:34.020]   they use the product, more people use it over time,
[00:53:34.020 --> 00:53:36.260]   usage goes up, they give us great feedback.
[00:53:36.260 --> 00:53:38.700]   There's always room for improvement,
[00:53:38.700 --> 00:53:40.780]   but we have a form of PMF.
[00:53:40.780 --> 00:53:43.620]   And I think there will be like multiple stages of it,
[00:53:43.620 --> 00:53:46.500]   but we certainly found some PMF, yeah.
[00:53:46.500 --> 00:53:49.460]   - What is the next tier of PMF that you're looking for?
[00:53:49.460 --> 00:53:50.980]   - Well, I'm hoping it's on this evals project
[00:53:50.980 --> 00:53:51.820]   that we're launching, right?
[00:53:51.820 --> 00:53:53.660]   So we definitely have PMF on the current
[00:53:53.660 --> 00:53:55.340]   sort of prompt versioning management stuff.
[00:53:55.340 --> 00:53:58.460]   We've got about 10 companies currently in closed beta
[00:53:58.460 --> 00:54:00.500]   on evals, giving us a lot of feedback on it.
[00:54:00.500 --> 00:54:01.980]   It's a real problem for them.
[00:54:01.980 --> 00:54:03.540]   We've seen them get value from it,
[00:54:03.540 --> 00:54:05.220]   but we haven't launched it publicly yet.
[00:54:05.220 --> 00:54:07.260]   I'm hoping that will be the next big one.
[00:54:07.260 --> 00:54:09.300]   - Yeah, just a technical question on the evals,
[00:54:09.300 --> 00:54:11.020]   which I don't know if it's too small,
[00:54:11.020 --> 00:54:13.340]   but typically evals involve writing code.
[00:54:13.340 --> 00:54:14.180]   - Yeah.
[00:54:14.180 --> 00:54:16.500]   - So it's like freeform, Python, JavaScript,
[00:54:16.500 --> 00:54:17.900]   something like that for you guys?
[00:54:17.900 --> 00:54:20.060]   - Yeah, so it's the combination of,
[00:54:20.060 --> 00:54:21.300]   and again, we're iterating on this,
[00:54:21.300 --> 00:54:23.020]   but yeah, you can define them in Python
[00:54:23.020 --> 00:54:25.100]   and they can also call language models as well.
[00:54:25.100 --> 00:54:27.220]   - And it's executed on your servers?
[00:54:27.220 --> 00:54:28.100]   - Both are options.
[00:54:28.100 --> 00:54:28.940]   - Okay, interesting.
[00:54:28.940 --> 00:54:30.500]   - So we have a protected environment.
[00:54:30.500 --> 00:54:32.700]   You can basically execute everything on our servers.
[00:54:32.700 --> 00:54:33.980]   - Well done.
[00:54:33.980 --> 00:54:35.820]   - Which was not easy to build.
[00:54:35.820 --> 00:54:37.260]   I'm not the right person to talk about it,
[00:54:37.260 --> 00:54:39.140]   but I think there's a really interesting engineering blog
[00:54:39.140 --> 00:54:41.220]   and how you can make it safe for other people
[00:54:41.220 --> 00:54:43.080]   to exec code on your servers.
[00:54:43.080 --> 00:54:46.340]   But also it's gonna be set up such that
[00:54:46.340 --> 00:54:47.480]   you can also run things on yours
[00:54:47.480 --> 00:54:48.900]   and just have the output logs
[00:54:48.900 --> 00:54:50.580]   still go to human loop and use for work.
[00:54:50.580 --> 00:54:53.180]   - This is the promise of the edge clouds of the world.
[00:54:53.180 --> 00:54:54.020]   - Yeah.
[00:54:54.020 --> 00:54:56.780]   - The denos, the Cloudflare workers, the models.
[00:54:56.780 --> 00:54:58.000]   I don't know if you've explored any of those,
[00:54:58.000 --> 00:55:00.500]   but then you would not have to set it up yourself.
[00:55:00.500 --> 00:55:02.020]   - I'm pretty sure they've all been explored
[00:55:02.020 --> 00:55:03.260]   by my team in recent months.
[00:55:03.260 --> 00:55:04.580]   - Yeah, yeah.
[00:55:04.580 --> 00:55:05.420]   All right, excellent.
[00:55:05.420 --> 00:55:07.220]   Okay, broughting it out to market takes.
[00:55:07.220 --> 00:55:08.060]   - Yeah.
[00:55:08.060 --> 00:55:08.900]   - Just the, you know,
[00:55:08.900 --> 00:55:10.060]   bringing out for human loop as a whole.
[00:55:10.060 --> 00:55:11.300]   How do you feel about LLM ops
[00:55:11.300 --> 00:55:13.380]   or prompt ops as a category term?
[00:55:13.380 --> 00:55:16.040]   - LLM ops, I would drop one L firstly.
[00:55:16.040 --> 00:55:17.820]   I think we call them large language models today,
[00:55:17.820 --> 00:55:19.900]   but the goalpost of large is gonna keep moving.
[00:55:19.900 --> 00:55:22.860]   So I think the point is sort of foundation models or--
[00:55:22.860 --> 00:55:24.580]   - Oh, I have a proposal to do with that.
[00:55:24.580 --> 00:55:25.400]   - Oh yeah?
[00:55:25.400 --> 00:55:26.240]   - I have t-shirt sizing.
[00:55:26.240 --> 00:55:27.060]   - T-shirt sizing.
[00:55:27.060 --> 00:55:29.660]   - So you're gonna find S, XS, and then M, and L,
[00:55:29.660 --> 00:55:30.500]   all the way to XXL.
